"Medicare Part D Opioid Prescribing Rates from Calendar Year 2016,",,,,,,,,,,,
by ZIP Code,,,,,,,,,,,
,,,,,,,,,,,
,,,Calendar Year 2016,,,,,,,Change in Opioid Prescribing Rates 2013 to 2016,
State Name,State Abbreviation,ZIP Code,Part D Prescribers,Part D Opioid Prescribers,Opioid Claims,Extended Release Opioid Claims,Overall Claims,Opioid Prescribing Rate,Extended Release Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Extended Release Opioid Prescribing Rate 
California,CA,95567,4,2,126,0,603,20.90,0.00,-1.73,-14.61
California,CA,95573,5,5,"2,244",167,"16,106",13.93,7.44,-1.59,-1.72
California,CA,95589,1,0,0,0,12,0.00,0.00,,
California,CA,95601,1,1,66,16,"1,555",4.24,24.24,-6.71,12.93
California,CA,95602,76,48,"8,560",736,"106,558",8.03,8.60,-0.76,1.02
California,CA,95603,131,71,"18,750","1,935","247,475",7.58,10.32,-0.97,1.01
California,CA,95605,11,6,707,71,"12,824",5.51,10.04,0.61,-5.29
California,CA,95607,1,1,12,0,236,5.08,0.00,,
California,CA,95608,333,180,"28,490","2,359","511,413",5.57,8.28,-0.81,2.47
California,CA,95610,67,36,"6,987",430,"98,393",7.10,6.15,0.16,-0.63
California,CA,95612,2,0,0,0,160,0.00,0.00,0.00,0.00
California,CA,95614,1,0,0,0,37,0.00,0.00,0.00,0.00
California,CA,95615,1,1,224,0,"5,912",3.79,0.00,0.10,0.00
California,CA,95616,212,103,"17,425","1,918","258,790",6.73,11.01,-0.15,2.40
California,CA,95618,23,3,178,0,"10,407",1.71,0.00,-2.23,-10.37
California,CA,95619,5,1,68,0,"3,733",1.82,0.00,-12.52,0.00
California,CA,95620,17,9,"1,927",149,"31,533",6.11,7.73,-0.41,2.19
California,CA,95621,20,7,399,0,"14,167",2.82,0.00,-0.16,0.00
California,CA,95624,34,10,"1,999",83,"24,170",8.27,4.15,-1.10,-1.35
California,CA,95628,81,28,"5,240",210,"88,915",5.89,4.01,-2.28,-3.57
California,CA,95630,282,156,"24,710","2,119","371,542",6.65,8.58,-0.86,0.27
California,CA,95631,3,2,263,73,"1,757",14.97,27.76,1.73,14.54
California,CA,95632,14,8,820,49,"19,799",4.14,5.98,-0.55,1.22
California,CA,95634,6,1,246,0,"2,052",11.99,0.00,-1.47,0.00
California,CA,95637,1,0,0,0,16,0.00,0.00,,
California,CA,95640,8,5,"1,027",29,"15,964",6.43,2.82,-0.25,-2.77
California,CA,95642,70,38,"8,615",785,"105,647",8.15,9.11,0.65,3.46
California,CA,95646,1,0,0,0,256,0.00,0.00,0.00,0.00
California,CA,95648,53,29,"8,003",629,"150,689",5.31,7.86,-0.25,2.74
California,CA,95650,5,2,371,0,"8,563",4.33,0.00,-1.34,-2.99
California,CA,95651,1,0,0,0,17,0.00,0.00,0.00,0.00
California,CA,95652,16,5,"2,333",183,"27,030",8.63,7.84,-0.85,-0.39
California,CA,95655,30,5,"1,477",100,"28,916",5.11,6.77,-1.11,-3.55
California,CA,95658,2,1,16,0,254,6.30,0.00,6.30,0.00
California,CA,95660,16,6,447,0,"14,253",3.14,0.00,-3.36,0.00
California,CA,95661,737,401,"70,740","6,374","969,416",7.30,9.01,0.05,0.92
California,CA,95662,9,5,"2,273",319,"12,578",18.07,14.03,2.35,-2.32
California,CA,95665,3,2,692,34,"6,984",9.91,4.91,-1.97,-3.85
California,CA,95666,4,3,184,11,"2,378",7.74,5.98,2.56,5.98
California,CA,95667,149,82,"14,004",788,"205,300",6.82,5.63,-0.30,-0.06
California,CA,95669,3,2,705,30,"14,421",4.89,4.26,-2.56,1.89
California,CA,95670,112,53,"10,726",725,"239,627",4.48,6.76,-1.36,0.31
California,CA,95673,4,0,0,0,231,0.00,0.00,-10.31,0.00
California,CA,95677,40,22,"5,438",790,"57,873",9.40,14.53,0.93,3.62
California,CA,95678,86,29,"5,788",629,"83,090",6.97,10.87,0.35,2.28
California,CA,95682,61,29,"3,036",161,"60,140",5.05,5.30,0.14,0.84
California,CA,95683,1,1,11,0,166,6.63,0.00,6.63,0.00
California,CA,95685,6,1,"1,111",132,"10,131",10.97,11.88,1.56,7.23
California,CA,95686,1,1,13,0,287,4.53,0.00,,
California,CA,95687,86,46,"4,001",260,"66,129",6.05,6.50,-3.09,-4.81
California,CA,95688,144,56,"12,164","1,061","187,789",6.48,8.72,-0.87,0.91
California,CA,95690,2,0,0,0,101,0.00,0.00,-16.05,0.00
California,CA,95691,34,18,"4,910",515,"63,767",7.70,10.49,0.51,-0.98
California,CA,95692,2,0,0,0,47,0.00,0.00,0.00,0.00
California,CA,95694,7,5,"1,068",200,"11,995",8.90,18.73,0.12,4.38
California,CA,95695,135,65,"10,463",727,"208,600",5.02,6.95,-0.73,-2.62
California,CA,95709,2,2,290,73,"2,523",11.49,25.17,-1.09,6.90
California,CA,95713,5,1,363,26,"7,153",5.07,7.16,-2.98,-1.84
California,CA,95722,3,0,0,0,174,0.00,0.00,-32.10,0.00
California,CA,95726,3,3,"1,668",301,"9,673",17.24,18.05,3.40,4.73
California,CA,95728,1,0,0,0,85,0.00,0.00,,
California,CA,95736,5,2,537,47,"10,176",5.28,8.75,-14.34,8.75
California,CA,95742,2,1,339,52,"2,352",14.41,15.34,1.85,-4.46
California,CA,95746,25,6,156,0,"2,437",6.40,0.00,-4.48,0.00
California,CA,95747,26,6,174,0,"10,538",1.65,0.00,0.13,0.00
California,CA,95757,34,21,"3,728",191,"80,736",4.62,5.12,-0.46,1.68
California,CA,95758,180,83,"17,601","1,418","299,412",5.88,8.06,-1.20,-0.02
California,CA,95762,68,29,"4,223",374,"54,504",7.75,8.86,-3.44,-2.57
California,CA,95765,56,25,"3,746",410,"56,336",6.65,10.95,-1.44,0.97
California,CA,95776,48,33,"5,598",448,"99,018",5.65,8.00,-1.74,-0.10
California,CA,95811,54,27,"3,074",382,"54,069",5.69,12.43,-3.24,4.12
California,CA,95814,31,15,"1,163",54,"29,491",3.94,4.64,-2.63,-5.86
California,CA,95815,109,30,"4,481",410,"123,807",3.62,9.15,-0.81,1.67
California,CA,95816,708,371,"60,228","5,274","781,442",7.71,8.76,-0.77,1.42
California,CA,95817,"1,240",551,"39,136","3,655","612,962",6.38,9.34,-0.63,0.22
California,CA,95818,14,2,168,0,"3,226",5.21,0.00,-0.81,-2.75
California,CA,95819,166,66,"8,991",680,"182,398",4.93,7.56,0.29,2.94
California,CA,95820,29,12,750,34,"25,552",2.94,4.53,-0.04,2.97
California,CA,95821,89,31,"17,684","3,112","103,735",17.05,17.60,3.91,-0.81
California,CA,95822,34,11,"2,026",51,"40,051",5.06,2.52,-1.19,1.04
California,CA,95823,476,267,"43,818","4,058","757,464",5.78,9.26,-0.99,3.37
California,CA,95824,8,5,545,63,"14,263",3.82,11.56,-3.15,0.23
California,CA,95825,589,299,"52,670","5,561","773,026",6.81,10.56,-0.82,1.97
California,CA,95826,22,4,310,0,"7,556",4.10,0.00,0.80,0.00
California,CA,95827,27,7,759,31,"9,462",8.02,4.08,0.54,-3.43
California,CA,95828,20,6,439,20,"8,702",5.04,4.56,0.43,4.56
California,CA,95829,9,2,51,0,870,5.86,0.00,-9.87,0.00
California,CA,95831,60,22,"4,035",303,"58,298",6.92,7.51,0.16,1.99
California,CA,95833,13,2,"2,077",119,"4,534",45.81,5.73,21.23,2.40
California,CA,95834,69,43,"9,303",996,"108,883",8.54,10.71,-1.42,1.56
California,CA,95835,14,5,136,0,"3,370",4.04,0.00,-11.82,-17.90
California,CA,95838,29,19,"3,012",121,"52,885",5.70,4.02,-4.49,-3.39
California,CA,95841,48,16,"4,048",286,"97,054",4.17,7.07,-1.27,-0.43
California,CA,95842,18,8,"2,238",356,"41,868",5.35,15.91,0.75,15.91
California,CA,95843,6,1,16,0,210,7.62,0.00,1.81,0.00
California,CA,95864,32,11,928,34,"17,678",5.25,3.66,-1.61,-1.80
California,CA,95901,72,41,"6,861",625,"76,840",8.93,9.11,-1.54,2.67
California,CA,95903,16,6,320,0,"6,961",4.60,0.00,-1.42,0.00
California,CA,95912,4,2,26,0,"1,987",1.31,0.00,-3.41,0.00
California,CA,95919,2,2,"1,325",80,"8,267",16.03,6.04,0.22,1.44
California,CA,95926,283,162,"35,087","3,163","395,384",8.87,9.01,-0.32,-1.41
California,CA,95928,86,38,"6,313",832,"50,804",12.43,13.18,3.05,2.60
California,CA,95932,28,18,"4,496",461,"76,150",5.90,10.25,-0.43,0.25
California,CA,95936,3,1,20,0,303,6.60,0.00,-0.56,0.00
California,CA,95938,1,0,0,0,33,0.00,0.00,0.00,0.00
California,CA,95945,166,85,"18,304","1,614","262,329",6.98,8.82,-0.56,1.21
California,CA,95946,9,4,889,27,"16,816",5.29,3.04,-0.10,-0.97
California,CA,95947,3,2,99,14,"1,866",5.31,14.14,5.31,14.14
California,CA,95948,21,15,"4,945",409,"57,833",8.55,8.27,0.67,0.14
California,CA,95949,9,6,"1,104",81,"16,416",6.73,7.34,-1.08,-0.97
California,CA,95951,1,0,0,0,"1,583",0.00,0.00,-4.89,0.00
California,CA,95953,4,2,370,25,"7,230",5.12,6.76,-0.03,6.76
California,CA,95954,2,1,29,0,151,19.21,0.00,5.72,-8.27
California,CA,95959,30,10,"2,025",292,"25,554",7.92,14.42,-0.42,0.27
California,CA,95961,16,12,"5,898",141,"49,648",11.88,2.39,-1.45,-0.77
California,CA,95963,18,12,"2,915",170,"43,390",6.72,5.83,-2.06,-0.01
California,CA,95965,43,20,"4,750",452,"51,648",9.20,9.52,-0.48,-2.41
California,CA,95966,114,65,"21,042","2,126","246,975",8.52,10.10,-3.14,0.52
California,CA,95969,123,74,"18,437","1,366","247,302",7.46,7.41,-0.60,-0.39
California,CA,95971,27,15,"2,719",360,"31,464",8.64,13.24,-1.31,1.77
California,CA,95973,69,35,"8,234","1,097","103,987",7.92,13.32,-0.78,1.82
California,CA,95988,27,14,"3,181",334,"33,152",9.60,10.50,-0.60,0.67
California,CA,95991,243,127,"33,691","2,796","459,259",7.34,8.30,-0.09,1.28
California,CA,95993,35,16,"4,336",255,"46,375",9.35,5.88,1.94,1.94
California,CA,96001,481,283,"65,172","6,004","739,661",8.81,9.21,-0.22,0.91
California,CA,96002,93,42,"6,924",566,"137,108",5.05,8.17,-1.63,-1.97
California,CA,96003,37,23,"1,235",43,"30,429",4.06,3.48,-1.42,-1.87
California,CA,96007,21,11,"7,704","1,210","65,306",11.80,15.71,-0.87,1.56
California,CA,96009,2,1,450,69,"5,308",8.48,15.33,2.59,15.33
California,CA,96013,11,7,"1,271",15,"12,886",9.86,1.18,-1.46,-7.35
California,CA,96015,3,0,0,0,942,0.00,0.00,-8.57,0.00
California,CA,96019,9,6,"3,896",513,"33,405",11.66,13.17,-0.77,7.98
California,CA,96020,11,8,"2,394",222,"22,757",10.52,9.27,1.31,-1.00
California,CA,96021,22,11,"3,567",190,"39,216",9.10,5.33,-3.10,-0.36
California,CA,96022,8,6,"2,396",269,"22,253",10.77,11.23,-1.08,-1.54
California,CA,96023,1,1,13,0,28,46.43,0.00,37.77,0.00
California,CA,96025,4,1,17,0,277,6.14,0.00,6.14,0.00
California,CA,96027,3,2,363,54,"4,504",8.06,14.88,-0.27,4.20
California,CA,96028,1,1,12,0,182,6.59,0.00,-0.65,0.00
California,CA,96032,5,3,369,90,"1,926",19.16,24.39,-4.01,2.47
California,CA,96039,2,2,478,65,"3,931",12.16,13.60,-2.47,2.62
California,CA,96041,3,3,"1,019",109,"7,446",13.69,10.70,5.68,-2.23
California,CA,96049,1,0,0,0,61,0.00,0.00,0.00,0.00
California,CA,96055,2,0,0,0,"1,064",0.00,0.00,-9.20,-6.33
California,CA,96056,1,0,0,0,30,0.00,0.00,0.00,0.00
California,CA,96057,2,1,47,0,338,13.91,0.00,1.05,-7.53
California,CA,96067,41,25,"5,416",910,"48,952",11.06,16.80,0.22,3.80
California,CA,96073,10,2,299,21,"8,649",3.46,7.02,-29.41,-27.81
California,CA,96080,92,53,"14,437","1,293","176,341",8.19,8.96,-0.70,3.77
California,CA,96084,6,4,928,120,"9,028",10.28,12.93,0.79,-1.79
California,CA,96085,1,0,0,0,26,0.00,0.00,,
California,CA,96088,4,3,707,98,"11,096",6.37,13.86,-2.40,1.20
California,CA,96093,17,14,"3,702",504,"34,833",10.63,13.61,-2.58,-2.38
California,CA,96094,7,6,"1,653",136,"22,172",7.46,8.23,-0.16,0.49
California,CA,96097,55,33,"7,739",785,"95,636",8.09,10.14,-1.73,1.07
California,CA,96101,12,7,"1,608",51,"15,762",10.20,3.17,0.80,-5.69
California,CA,96103,1,0,0,0,66,0.00,0.00,-12.22,0.00
California,CA,96104,1,0,0,0,"2,150",0.00,0.00,-4.34,0.00
California,CA,96107,1,1,11,0,37,29.73,0.00,,
California,CA,96112,1,1,484,101,"2,102",23.03,20.87,9.20,5.52
California,CA,96113,1,1,17,0,333,5.11,0.00,,
California,CA,96118,3,2,177,0,"4,538",3.90,0.00,-4.55,-6.15
California,CA,96122,12,9,"1,383",122,"20,173",6.86,8.82,-3.00,-3.62
California,CA,96130,52,29,"6,398",618,"64,052",9.99,9.66,-1.46,-1.74
California,CA,96137,3,1,663,50,"4,623",14.34,7.54,-3.43,-8.36
California,CA,96140,3,0,0,0,189,0.00,0.00,0.00,0.00
California,CA,96143,6,1,99,0,"1,070",9.25,0.00,-7.62,0.00
California,CA,96145,8,1,44,0,"1,476",2.98,0.00,2.98,0.00
California,CA,96146,2,0,0,0,619,0.00,0.00,0.00,0.00
California,CA,96150,97,60,"5,812",462,"64,949",8.95,7.95,0.24,-0.71
California,CA,96161,69,38,"3,644",173,"52,295",6.97,4.75,-1.60,-4.44
Colorado,CO,80002,38,15,"2,663",435,"36,306",7.33,16.33,0.49,3.74
Colorado,CO,80003,71,38,"10,002","1,147","130,635",7.66,11.47,-0.13,-0.60
Colorado,CO,80004,39,23,"3,604",428,"52,919",6.81,11.88,-1.47,1.15
Colorado,CO,80005,46,22,"2,066",77,"50,807",4.07,3.73,-0.75,-0.62
Colorado,CO,80007,5,0,0,0,243,0.00,0.00,-3.51,0.00
Colorado,CO,80010,27,11,672,46,"19,328",3.48,6.85,-0.52,-6.10
Colorado,CO,80011,60,28,"4,200",391,"75,408",5.57,9.31,-0.63,-1.00
Colorado,CO,80012,350,187,"30,028","2,906","329,251",9.12,9.68,1.68,2.17
Colorado,CO,80013,17,8,154,0,"6,722",2.29,0.00,-0.22,0.00
Colorado,CO,80014,287,178,"33,106","3,538","409,862",8.08,10.69,-1.12,1.38
Colorado,CO,80015,78,35,"4,123",354,"57,780",7.14,8.59,-0.66,-0.58
Colorado,CO,80016,66,31,"4,141",553,"58,109",7.13,13.35,-0.52,0.80
Colorado,CO,80017,8,0,0,0,303,0.00,0.00,-7.72,0.00
Colorado,CO,80018,1,0,0,0,23,0.00,0.00,0.00,0.00
Colorado,CO,80020,96,51,"8,316","1,244","96,466",8.62,14.96,-0.15,2.19
Colorado,CO,80021,55,27,"3,608",377,"56,677",6.37,10.45,-2.60,-1.77
Colorado,CO,80022,39,17,"1,147",177,"17,696",6.48,15.43,-1.70,-3.26
Colorado,CO,80023,65,35,"2,443",110,"33,485",7.30,4.50,2.17,1.95
Colorado,CO,80026,345,162,"21,151","2,951","272,829",7.75,13.95,0.54,4.12
Colorado,CO,80027,157,58,"4,240",116,"63,880",6.64,2.74,-1.69,-0.14
Colorado,CO,80030,16,5,244,0,"1,904",12.82,0.00,0.58,-10.39
Colorado,CO,80031,135,78,"11,429","1,140","185,055",6.18,9.97,-0.31,1.19
Colorado,CO,80033,352,200,"30,520","3,377","463,461",6.59,11.06,-1.08,1.35
Colorado,CO,80045,"1,480",500,"27,606","2,822","430,281",6.42,10.22,-0.46,2.22
Colorado,CO,80102,2,1,15,0,145,10.34,0.00,10.34,0.00
Colorado,CO,80104,66,39,"3,911",221,"68,800",5.68,5.65,1.01,-2.94
Colorado,CO,80106,1,0,0,0,71,0.00,0.00,0.00,0.00
Colorado,CO,80107,7,3,448,24,"8,427",5.32,5.36,-0.64,-2.86
Colorado,CO,80108,33,14,813,40,"11,761",6.91,4.92,-1.48,4.92
Colorado,CO,80109,26,14,"1,016",56,"17,195",5.91,5.51,-3.37,5.51
Colorado,CO,80110,49,19,939,52,"14,212",6.61,5.54,-8.25,-4.93
Colorado,CO,80111,321,164,"17,961","2,173","144,568",12.42,12.10,-1.50,-1.17
Colorado,CO,80112,187,77,"8,589",712,"131,948",6.51,8.29,-1.49,-0.56
Colorado,CO,80113,378,216,"25,620","2,481","265,715",9.64,9.68,-0.31,-1.19
Colorado,CO,80116,3,1,33,0,258,12.79,0.00,4.04,0.00
Colorado,CO,80117,2,1,33,0,715,4.62,0.00,,
Colorado,CO,80120,164,48,"3,933",204,"179,598",2.19,5.19,-0.01,-0.24
Colorado,CO,80121,36,17,"1,126",182,"19,884",5.66,16.16,-2.44,-2.00
Colorado,CO,80122,243,119,"10,414",549,"220,400",4.73,5.27,-1.30,-0.18
Colorado,CO,80123,105,60,"10,060",977,"164,570",6.11,9.71,-0.69,-0.29
Colorado,CO,80124,324,156,"10,762",578,"155,014",6.94,5.37,-1.19,2.83
Colorado,CO,80126,37,11,271,0,"4,705",5.76,0.00,-0.96,-11.04
Colorado,CO,80127,70,33,"4,348",400,"67,898",6.40,9.20,0.86,2.01
Colorado,CO,80128,27,13,"1,150",41,"22,279",5.16,3.57,-0.93,1.89
Colorado,CO,80129,101,44,"4,929",272,"119,526",4.12,5.52,0.21,-0.67
Colorado,CO,80130,22,5,490,0,"9,703",5.05,0.00,2.81,0.00
Colorado,CO,80132,35,15,795,29,"28,724",2.77,3.65,-1.69,-4.24
Colorado,CO,80134,118,50,"4,640",297,"66,957",6.93,6.40,2.01,1.41
Colorado,CO,80135,2,0,0,0,61,0.00,0.00,0.00,0.00
Colorado,CO,80136,6,3,249,11,"3,328",7.48,4.42,-1.92,4.42
Colorado,CO,80138,102,55,"4,769",318,"102,342",4.66,6.67,-0.63,-1.48
Colorado,CO,80202,63,28,"2,505",241,"34,382",7.29,9.62,-2.57,-2.50
Colorado,CO,80203,45,17,"1,490",230,"8,858",16.82,15.44,4.40,10.66
Colorado,CO,80204,444,198,"27,994","2,805","266,126",10.52,10.02,0.06,-0.21
Colorado,CO,80205,366,184,"15,896",914,"264,959",6.00,5.75,-1.04,-0.59
Colorado,CO,80206,266,63,"4,313",233,"144,877",2.98,5.40,-0.53,2.36
Colorado,CO,80207,14,7,"1,086",88,"6,600",16.45,8.10,5.75,-3.19
Colorado,CO,80209,91,29,"3,046",163,"69,055",4.41,5.35,-0.75,3.22
Colorado,CO,80210,253,117,"12,031",687,"213,401",5.64,5.71,-0.91,-1.09
Colorado,CO,80211,73,51,"5,021",500,"64,141",7.83,9.96,0.57,3.95
Colorado,CO,80212,32,14,"2,718",236,"42,007",6.47,8.68,-0.34,-2.07
Colorado,CO,80214,43,10,466,13,"15,802",2.95,2.79,-0.86,-1.10
Colorado,CO,80215,58,31,"5,997",387,"103,354",5.80,6.45,0.11,1.34
Colorado,CO,80216,9,6,175,0,"2,179",8.03,0.00,5.23,0.00
Colorado,CO,80218,527,278,"16,130",874,"227,424",7.09,5.42,-0.79,0.41
Colorado,CO,80219,36,16,"2,886",107,"44,551",6.48,3.71,-1.43,-0.33
Colorado,CO,80220,336,163,"17,218","1,242","299,056",5.76,7.21,0.67,2.34
Colorado,CO,80221,37,20,"1,349",241,"14,704",9.17,17.87,-0.64,6.94
Colorado,CO,80222,90,26,"1,140",47,"49,455",2.31,4.12,-0.01,4.12
Colorado,CO,80223,6,2,139,43,378,36.77,30.94,-2.20,0.33
Colorado,CO,80224,50,18,"1,674",12,"21,545",7.77,0.72,2.27,0.72
Colorado,CO,80226,132,76,"16,913","1,717","228,413",7.40,10.15,-0.25,0.75
Colorado,CO,80227,61,18,"1,633",166,"26,044",6.27,10.17,0.53,-0.41
Colorado,CO,80228,241,137,"12,303","1,282","175,518",7.01,10.42,-1.73,-0.71
Colorado,CO,80229,166,96,"10,035","1,313","69,850",14.37,13.08,-2.55,-0.57
Colorado,CO,80230,102,52,"8,320",677,"63,686",13.06,8.14,0.80,5.02
Colorado,CO,80231,37,12,455,0,"14,849",3.06,0.00,0.33,0.00
Colorado,CO,80232,26,12,"1,939",70,"21,203",9.14,3.61,0.32,-2.98
Colorado,CO,80233,48,32,"4,075",306,"61,213",6.66,7.51,-0.12,-0.28
Colorado,CO,80234,133,79,"16,817","1,774","221,084",7.61,10.55,0.54,1.18
Colorado,CO,80235,10,6,287,0,"6,084",4.72,0.00,-1.38,0.00
Colorado,CO,80236,13,1,29,0,"2,807",1.03,0.00,-5.68,-31.19
Colorado,CO,80237,37,13,"1,004",27,"25,348",3.96,2.69,-1.69,2.69
Colorado,CO,80238,34,23,"2,295",348,"18,966",12.10,15.16,2.38,1.10
Colorado,CO,80239,11,5,"1,210",92,"10,966",11.03,7.60,6.47,7.60
Colorado,CO,80241,15,4,"1,215",119,"10,457",11.62,9.79,1.91,9.79
Colorado,CO,80246,106,18,"2,872",401,"58,927",4.87,13.96,0.67,5.64
Colorado,CO,80247,120,59,"13,463","1,331","224,288",6.00,9.89,-0.17,0.79
Colorado,CO,80249,18,12,"1,720",182,"19,460",8.84,10.58,-0.49,6.65
Colorado,CO,80260,69,24,"1,833",122,"47,303",3.88,6.66,-0.75,3.02
Colorado,CO,80301,135,53,"4,199",198,"67,922",6.18,4.72,-0.25,-2.13
Colorado,CO,80302,65,20,"2,210",137,"46,286",4.77,6.20,0.46,0.00
Colorado,CO,80303,193,93,"10,154",794,"157,234",6.46,7.82,-0.14,1.42
Colorado,CO,80304,203,86,"10,108","1,081","139,678",7.24,10.69,-2.26,-2.77
Colorado,CO,80305,29,7,296,22,"5,485",5.40,7.43,-0.45,-6.32
Colorado,CO,80401,228,143,"18,424","1,762","151,821",12.14,9.56,0.78,2.22
Colorado,CO,80403,124,109,"27,989","3,369","343,693",8.14,12.04,1.95,4.41
Colorado,CO,80422,4,2,410,53,"2,950",13.90,12.93,5.49,-3.40
Colorado,CO,80424,20,4,100,0,"7,659",1.31,0.00,-0.53,0.00
Colorado,CO,80433,25,14,"1,539",137,"29,008",5.31,8.90,-0.37,-5.11
Colorado,CO,80435,10,3,83,17,809,10.26,20.48,-9.42,20.48
Colorado,CO,80439,55,33,"2,866",109,"53,444",5.36,3.80,0.24,-2.48
Colorado,CO,80440,3,1,70,14,724,9.67,20.00,-3.46,10.07
Colorado,CO,80442,2,0,0,0,281,0.00,0.00,0.00,0.00
Colorado,CO,80443,66,27,"3,071",403,"28,385",10.82,13.12,-5.18,-1.27
Colorado,CO,80444,1,1,23,0,56,41.07,0.00,41.07,0.00
Colorado,CO,80446,4,3,320,16,"8,098",3.95,5.00,-2.39,-2.48
Colorado,CO,80447,2,1,102,12,"1,748",5.84,11.76,5.84,11.76
Colorado,CO,80452,3,0,0,0,114,0.00,0.00,-37.50,0.00
Colorado,CO,80454,1,0,0,0,236,0.00,0.00,-14.20,0.00
Colorado,CO,80459,11,8,607,0,"11,748",5.17,0.00,-1.32,0.00
Colorado,CO,80461,21,13,526,0,"8,498",6.19,0.00,-2.38,-5.74
Colorado,CO,80465,3,1,12,0,119,10.08,0.00,-10.93,0.00
Colorado,CO,80466,4,2,63,0,"2,273",2.77,0.00,1.20,0.00
Colorado,CO,80467,3,3,93,0,"1,238",7.51,0.00,3.32,0.00
Colorado,CO,80477,1,0,0,0,785,0.00,0.00,0.00,0.00
Colorado,CO,80482,8,3,153,63,"3,055",5.01,41.18,0.33,41.18
Colorado,CO,80487,91,54,"4,621",249,"61,904",7.46,5.39,-0.58,2.93
Colorado,CO,80498,10,5,169,0,"5,067",3.34,0.00,-0.95,0.00
Colorado,CO,80501,295,153,"17,672","1,049","308,382",5.73,5.94,-1.35,-0.20
Colorado,CO,80503,61,43,"6,644",777,"81,458",8.16,11.69,1.49,-5.03
Colorado,CO,80504,33,9,561,11,"20,506",2.74,1.96,-4.97,1.96
Colorado,CO,80512,1,0,0,0,124,0.00,0.00,-19.81,0.00
Colorado,CO,80513,12,2,521,50,"8,682",6.00,9.60,-1.79,3.65
Colorado,CO,80514,7,6,952,0,"24,207",3.93,0.00,-5.72,0.00
Colorado,CO,80516,13,9,594,24,"9,303",6.39,4.04,2.55,4.04
Colorado,CO,80517,32,25,"2,816",275,"46,596",6.04,9.77,-0.45,0.68
Colorado,CO,80521,23,8,549,31,"14,746",3.72,5.65,0.45,5.65
Colorado,CO,80524,327,198,"13,055","1,174","176,975",7.38,8.99,-1.61,0.53
Colorado,CO,80525,228,116,"19,134","1,610","214,876",8.90,8.41,-1.06,1.31
Colorado,CO,80526,86,48,"8,918","1,004","80,418",11.09,11.26,-4.81,-2.93
Colorado,CO,80528,217,126,"11,976",824,"281,496",4.25,6.88,-0.69,1.14
Colorado,CO,80530,5,3,538,22,"5,172",10.40,4.09,-4.10,-5.66
Colorado,CO,80532,1,1,13,0,105,12.38,0.00,12.38,0.00
Colorado,CO,80534,29,26,"3,871",474,"34,364",11.26,12.24,1.18,1.62
Colorado,CO,80535,1,1,19,0,591,3.21,0.00,3.21,0.00
Colorado,CO,80537,76,39,"4,498",581,"77,891",5.77,12.92,-0.79,1.73
Colorado,CO,80538,221,132,"20,324","2,683","226,110",8.99,13.20,0.80,3.58
Colorado,CO,80540,4,2,133,0,"1,163",11.44,0.00,1.94,0.00
Colorado,CO,80542,4,1,34,19,438,7.76,55.88,-7.02,55.88
Colorado,CO,80544,2,0,0,0,448,0.00,0.00,0.00,0.00
Colorado,CO,80547,2,1,97,0,150,64.67,0.00,,
Colorado,CO,80549,4,0,0,0,576,0.00,0.00,-11.79,0.00
Colorado,CO,80550,33,21,"2,935",114,"51,448",5.70,3.88,1.34,1.28
Colorado,CO,80601,104,68,"7,958",715,"125,767",6.33,8.98,-0.66,0.60
Colorado,CO,80602,13,5,397,47,"4,382",9.06,11.84,-6.49,8.47
Colorado,CO,80615,6,3,177,0,"3,870",4.57,0.00,-1.84,0.00
Colorado,CO,80620,36,25,"2,500",312,"25,565",9.78,12.48,0.01,5.93
Colorado,CO,80621,27,18,"2,329",244,"30,245",7.70,10.48,-2.00,0.62
Colorado,CO,80631,170,92,"11,461",457,"234,959",4.88,3.99,-1.97,-4.75
Colorado,CO,80634,227,127,"13,910","1,426","202,926",6.85,10.25,-0.46,2.21
Colorado,CO,80643,3,1,434,58,"7,496",5.79,13.36,-1.08,5.17
Colorado,CO,80651,2,1,45,0,413,10.90,0.00,-49.52,0.00
Colorado,CO,80701,54,22,"3,089",228,"51,993",5.94,7.38,-1.17,-3.18
Colorado,CO,80720,4,3,484,108,"7,410",6.53,22.31,0.93,13.55
Colorado,CO,80723,17,12,"1,870",114,"29,257",6.39,6.10,0.47,1.46
Colorado,CO,80731,4,4,500,0,"12,302",4.06,0.00,-2.60,0.00
Colorado,CO,80734,5,4,569,51,"11,380",5.00,8.96,-1.28,3.18
Colorado,CO,80737,8,6,"1,103",45,"23,624",4.67,4.08,-1.26,-1.83
Colorado,CO,80751,52,30,"4,775",359,"96,606",4.94,7.52,-0.94,3.10
Colorado,CO,80758,11,9,"1,451",87,"25,902",5.60,6.00,0.72,1.26
Colorado,CO,80759,10,5,"1,119",102,"22,499",4.97,9.12,-0.32,-0.39
Colorado,CO,80807,10,5,995,44,"26,794",3.71,4.42,-0.90,1.34
Colorado,CO,80808,3,3,326,17,"7,625",4.28,5.21,-3.12,-4.40
Colorado,CO,80810,3,2,491,46,"6,714",7.31,9.37,0.07,9.37
Colorado,CO,80813,3,1,25,0,274,9.12,0.00,3.11,0.00
Colorado,CO,80814,2,1,190,12,"3,165",6.00,6.32,-6.87,-6.26
