"Medicare Part D Opioid Prescribing Rates from Calendar Year 2016,",,,,,,,,,,,
by ZIP Code,,,,,,,,,,,
,,,,,,,,,,,
,,,Calendar Year 2016,,,,,,,Change in Opioid Prescribing Rates 2013 to 2016,
State Name,State Abbreviation,ZIP Code,Part D Prescribers,Part D Opioid Prescribers,Opioid Claims,Extended Release Opioid Claims,Overall Claims,Opioid Prescribing Rate,Extended Release Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Extended Release Opioid Prescribing Rate 
Alabama,AL,36703,3,2,275,0,"1,661",16.56,0.00,1.89,0.00
Alabama,AL,36726,3,3,844,15,"27,824",3.03,1.78,0.10,0.05
Alabama,AL,36732,21,12,"6,261",140,"104,098",6.01,2.24,-0.04,0.22
Alabama,AL,36744,9,4,"2,264",0,"44,118",5.13,0.00,-3.98,-1.54
Alabama,AL,36748,4,2,848,12,"14,100",6.01,1.42,-1.94,-1.00
Alabama,AL,36750,3,2,173,0,"3,155",5.48,0.00,-0.55,0.00
Alabama,AL,36752,1,0,0,0,12,0.00,0.00,,
Alabama,AL,36756,7,3,"2,177",169,"40,346",5.40,7.76,-0.06,0.53
Alabama,AL,36768,3,1,643,25,"10,524",6.11,3.89,-0.20,3.89
Alabama,AL,36769,1,1,24,0,"1,698",1.41,0.00,1.41,0.00
Alabama,AL,36776,1,1,77,0,"3,624",2.12,0.00,,
Alabama,AL,36784,19,12,"4,965",21,"59,076",8.40,0.42,-1.08,-0.08
Alabama,AL,36786,3,2,301,0,"9,106",3.31,0.00,-0.58,0.00
Alabama,AL,36801,173,89,"21,023",471,"382,414",5.50,2.24,-1.43,-0.27
Alabama,AL,36830,71,43,"7,685",829,"161,717",4.75,10.79,-0.33,2.67
Alabama,AL,36832,7,2,225,0,"5,939",3.79,0.00,-10.76,0.00
Alabama,AL,36849,9,1,26,0,"1,561",1.67,0.00,-4.60,0.00
Alabama,AL,36853,14,11,"3,957",137,"77,513",5.10,3.46,-3.64,-0.49
Alabama,AL,36854,25,16,"9,641",647,"117,119",8.23,6.71,-0.02,0.00
Alabama,AL,36862,4,3,222,0,"12,818",1.73,0.00,-2.11,0.00
Alabama,AL,36863,3,3,837,0,"6,118",13.68,0.00,3.53,0.00
Alabama,AL,36866,1,0,0,0,"5,956",0.00,0.00,-1.82,0.00
Alabama,AL,36867,29,20,"6,535",409,"118,343",5.52,6.26,-1.22,1.00
Alabama,AL,36869,1,1,55,0,196,28.06,0.00,-7.20,0.00
Alabama,AL,36870,1,1,124,0,"6,217",1.99,0.00,-0.51,0.00
